brand,model,recommended_tension_lbs,string_length,string_pattern,main_holes_skipped,main_holes_tied,cross_holes_started,cross_holes_tied
"Wilson","HAMMER 5.0 STRETCH 95","53 - 63","18'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 5.2 110","53 - 63","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","5T - 13B"
"Wilson","HAMMER 5.2 95","50 - 60","19'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HAMMER 5.4 PH 110","53 - 63","21'M - 18'C","18M X 20C","8,10T - 8,10B","9T","8T","7T - 6B"
"Wilson","HAMMER 5.5 95","53 - 63","18'M - 14'C","16M X 18C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","HAMMER 5.5 STRETCH 110","55 - 65","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","HAMMER 5.5 STRETCH 95","53 - 63","18'M - 14'C","16M X 18C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","HAMMER 5.8 110","55 - 65","20'M - 18'C","16M X 21C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 5.8 95","53 - 63","18'M - 16'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HAMMER 6.2 110","55 - 65","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","4T - 9B"
"Wilson","HAMMER 6.2 95","50 - 60","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","HAMMER 6.2 MP POWER HOLES","53 - 63","18'M - 19'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","HAMMER 6.2 STRETCH 110","50 - 65","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","6T - 14B"
"Wilson","HAMMER 6.2 STRETCH 95","50 - 65","18'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 6.4 PH 95","53 - 63","18'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","6T - 11B"
"Wilson","HAMMER 6.4 PH STRETCH 110","55 - 65","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","9T - 12B"
"Wilson","HAMMER 7.0 Ti STRETCH 110","53 - 63","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","HAMMER 7.0 Ti STRETCH 95","50 - 60","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","HAMMER 7.2 110","55 - 65","19'M - 17'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 9B"
"Wilson","HAMMER 7.2 95","55 - 65","19'M - 16'C","16M X 18C","7,9T - 7,9B","6T","7T","5T - 12B"
"Wilson","HAMMER 7.3 Ti STRETCH 100","53 - 63","19'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 7.3 Ti STRETCH 110","55 - 65","22'M - 18'C","18M X 20C","8,10T - 8,10B","7B","8T","6T - 12B"
"Wilson","HAMMER 7.4 110","55 - 65","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","HAMMER 7.4 95","50 - 60","19'M - 17'C","16M X 18C","7,9T - 7,9B","8B","7T","5T - 11B"
"Wilson","HAMMER 7.4 STRETCH 110","53 - 63","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","5T - 13B"
"Wilson","HAMMER 7.4 STRETCH 95","50 - 60","18'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HAMMER 8.0 Ti STRETCH","53 - 63","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","5T - 13B"
"Wilson","HAMMER 8.2 Ti STRETCH","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","HAMMER 8.4 Ti STRETCH","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","HAMMER 8.8 Ti STRETCH","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6T","7T","4T - 11B"
"Wilson","HAMMER XP","55 - 65","20'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Babolat","SOFT CONTROL","53 - 57","39' - 10'S","16M X 20C","8T - 8B","6T","8T","7B"
"Wilson","HYPER HAMMER 2.1 LITE 115","50 - 60","21'M - 19'C","16M X 19C","6,8,10,11T - 8B","6B","6T","3T - 11B"
"Wilson","HYPER HAMMER 2.3 STRETCH 110","50 - 60","20'M - 17'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HYPER HAMMER 2.3 STRETCH 120","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HYPER HAMMER 2.7 115","50 - 60","20'M - 18'C","16M X 19C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 2.8 125","55 - 65","21'M - 19'C","16M X 20C","6,8,10T","7T","6T","4T - 11B"
"Wilson","HYPER HAMMER 3.3 115","50 - 60","20'M - 18'C","16M X 19C","6,8,10,11T - 8B","6B","6T","3T - 11B"
"Wilson","HYPER HAMMER 3.3 135","53 - 63","22'M - 21'C","16M X 21C","6,8,10,11T - 8B","7T","6T","4T - 11B"
"Wilson","HYPER HAMMER 3.9 OS","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 4.0 100","53 - 63","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 4.0 110","55 - 65","20'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 4.3 P.H. 100","53 - 63","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 4.3 P.H. 110","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 5.2 106","55 - 65","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HYPER HAMMER 5.2 95","53 - 63","19'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 5.3 STRETCH 110","53 - 63","19'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HYPER HAMMER 5.3 STRETCH 95","53 - 63","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 5.4 95","53 - 63","19'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 5.9 110","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","8B","7T","5T - 12B"
"Wilson","HYPER HAMMER 5.9 95","55 - 65","19'M - 15'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HYPER HAMMER 6.2 110","53 - 63","20'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HYPER HAMMER 6.2 95","50 - 60","19'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER 6.3 110","53 - 63","21'M - 18'C","18M X 19C","8,10T - 8,10B","7B","8T","6T - 14B"
"Wilson","HYPER HAMMER 6.3 95","50 - 60","18'M - 16'C","16M X 18C","7,9T - 7,9B","6B","7T","5T - 9B"
"Wilson","HYPER HAMMER ROLLERS 2.6 115","50 - 60","22'M - 18'C","16M X 20C","6,8,10,11T","6B","6T","4T - 11B"
"Wilson","HYPER HAMMER ROLLERS 3.6 115","50 - 60","22'M - 18'C","16M X 19C","6,8,10,11T","9T","6T","4T - 11B"
"Wilson","HYPER HAMMER ROLLERS 5.6 110","55 - 65","20'M - 18'C","16M X 21C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER ROLLERS 5.6 95","53 - 63","19'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER ROLLERS 6.6 98","55 - 66","20'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER HAMMER ROLLERS 7.6 98","55 - 66","20'M - 16'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 11B"
"Wilson","HYPER ION POWER X 4","50 - 60","38' - 10'S","16M X 20C","7,9T - 7,9B","6B","7B","5T"
"Wilson","HYPER PRO SRAFF 5.1 SURGE X","53 - 63","19'M - 18'C","16M X 19C","8T - 8B","6B","8T","5T - 11B"
"Wilson","HYPER PRO STAFF 5.0 95","53 - 63","18'M - 17'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
"Wilson","HYPER PRO STAFF 5.0 STRETCH 110","55 - 65","19'M - 18'C","16M X 20C","7,9T - 7,9B","6B","7T","5T - 13B"
